Speaker,Line,Stanza,Word,Context
Narrator,165,14,glysnande,"As [glysnande] golde þat man con schere,"
Narrator,171,15,gladande,Suche [gladande] [glory] con to me [glace]
Narrator,171,15,glory,Suche [gladande] [glory] con to me [glace]
Narrator,171,15,glace,Suche [gladande] [glory] con to me [glace]
Narrator,189,16,gracios,"Þat [gracios] gay wythouten galle,"
Narrator,194,17,grace,"Þere moȝt mon by [grace] haf sene,"
Narrator,231,20,gladder,No [gladder] gome heþen into [Grece]
Narrator,231,20,Grece,No [gladder] gome heþen into [Grece]
Narrator,237,20,grete,Caȝte of her coroun of [grete] tresore
Narrator,245,21,gresse,Syþen into [gresse] þou me aglyȝte.
Narrator,250,21,gret,And don me in þys del and [gret] daunger?
Narrator,254,22,graye,"Vered vp her vyse wyth yȝen [graye],"
Narrator,280,24,grete,My [grete] dystresse þou al todraweȝ.
Narrator,330,28,gret,My precios perle dotȝ me [gret] pyne.
Narrator,331,28,grete,"What serueȝ tresor, bot gareȝ men [grete]"
Narrator,372,31,grounde,Þat er watȝ [grounde] of alle my blysse.
Narrator,396,33,grounde,Hit is in [grounde] of alle my blysse.'
Narrator,425,36,grace,"We leuen on Marye þat [grace] of [grewe],"
Narrator,425,36,grewe,"We leuen on Marye þat [grace] of [grewe],"
Narrator,470,40,grete,"And charyté [grete], be yow among,"
Narrator,471,40,greue,"Bot my speche þat yow ne [greue],"
Narrator,986,83,gret,"I syȝe þat cyty of [gret] renoun,"
Narrator,990,83,glemande,"As [glemande] [glas] burnist broun,"
Narrator,990,83,glas,"As [glemande] [glas] burnist broun,"
Narrator,1001,84,glente,He [glente] [grene] in þe lowest hemme;
Narrator,1001,84,grene,He [glente] [grene] in þe lowest hemme;
Narrator,1005,84,grene,Þe emerade þe furþe so [grene] of scale;
Narrator,1018,85,glas,"O jasporye, as [glas] þat [glysnande] schon;"
Narrator,1018,85,glysnande,"O jasporye, as [glas] þat [glysnande] schon;"
Narrator,1025,86,glasse,"Þe streteȝ of golde as [glasse] al bare,"
Narrator,1026,86,glent,Þe wal of jasper þat [glent] as [glayre];
Narrator,1026,86,glayre,Þe wal of jasper þat [glent] as [glayre];
Narrator,1060,89,glet,Wythouten fylþe oþer galle oþer [glet].
Narrator,1070,90,grym,"To spotty ho is, of body to [grym],"
Narrator,1081,91,great,An-vnder mone so [great] merwayle
Narrator,1088,91,glymme,So watȝ I rauyste wyth [glymme] pure.
Narrator,1094,92,glem,"Er þenne þe day-[glem] dryue al doun,"
Narrator,1104,92,gret,Þe blysful perle wyth [gret] delyt.
Narrator,1105,93,gret,Wyth [gret] delyt þay [glod] in fere
Narrator,1105,93,glod,Wyth [gret] delyt þay [glod] in fere
Narrator,1106,93,glent,On golden gateȝ þat [glent] as [glasse];
Narrator,1106,93,glasse,On golden gateȝ þat [glent] as [glasse];
Narrator,1109,93,gladdest,Tor to knaw þe [gladdest] chere.
Narrator,1116,93,gret,So droȝ þay forth wyth [gret] delyt.
Narrator,1120,94,Grouelyng,[Grouelyng] to his fete þay felle.
Narrator,1123,94,glory,Þen [glory] and [gle] watȝ nwe abroched;
Narrator,1123,94,gle,Þen [glory] and [gle] watȝ nwe abroched;
Narrator,1128,94,gret,Iwysse I laȝt a [gret] delyt.
Narrator,1144,96,glenteȝ,So wern his [glenteȝ] [gloryous] [glade].
Narrator,1144,96,gloryous,So wern his [glenteȝ] [gloryous] [glade].
Narrator,1144,96,glade,So wern his [glenteȝ] [gloryous] [glade].
Narrator,1152,96,gret,For luf-longyng in [gret] delyt.
Narrator,1173,98,grounde,Þer as my perle to [grounde] strayd.
Narrator,1174,98,gret,"I raxled, and fel in [gret] affray,"
Pearl-Maiden,260,22,gracios,"As in þis gardyn [gracios] gaye,"
Pearl-Maiden,317,27,graunt,And ȝet of [graunt] þou myȝteȝ fayle.
Pearl-Maiden,321,27,greue,For hit watȝ forgarte at Paradys [greue];
Narrator,384,32,grounde,Þise arn þe [grounde] of alle my blisse.
Pearl-Maiden,408,34,grounde,Þat is þe [grounde] of alle my blysse.
Pearl-Maiden,420,35,grounde,Is rote and [grounde] of alle my blysse.'
Pearl-Maiden,434,37,grounde,"Knelande to [grounde], folde vp hyr face,"
Pearl-Maiden,436,37,grace,Blessed bygynner of vch a [grace]!'
Pearl-Maiden,465,39,greme,"Þy heued hatȝ nauþer [greme] ne [gryste],"
Pearl-Maiden,465,39,gryste,"Þy heued hatȝ nauþer [greme] ne [gryste],"
Pearl-Maiden,499,42,grayþely,"In sample he can ful [grayþely] gesse,"
Pearl-Maiden,511,43,gret,"Wryþen and worchen and don [gret] pyne,"
Pearl-Maiden,578,49,gret,"Of ladyschyp [gret] and lyueȝ blom,"
Pearl-Maiden,612,51,grace,For þe [grace] of God is [gret] inoghe.
Pearl-Maiden,612,51,gret,For þe [grace] of God is [gret] inoghe.
Pearl-Maiden,616,52,gret,Am not worþy so [gret] fere.
Pearl-Maiden,623,52,grace,"Mercy and [grace] moste hem þen stere,"
Pearl-Maiden,624,52,grace,For þe [grace] of God is [gret] innoȝe.
Pearl-Maiden,624,52,gret,For þe [grace] of God is [gret] innoȝe.
Pearl-Maiden,625,53,grace,'Bot innoghe of [grace] hatȝ innocent.
Pearl-Maiden,636,53,grace,For þe [grace] of God is [gret] innoghe.
Pearl-Maiden,636,53,gret,For þe [grace] of God is [gret] innoghe.
Pearl-Maiden,637,54,grete,'Inoȝe is knawen þat mankyn [grete]
Pearl-Maiden,648,54,grace,Þe [grace] of God wex [gret] innoghe.
Pearl-Maiden,648,54,gret,Þe [grace] of God wex [gret] innoghe.
Pearl-Maiden,654,55,glayue,"Þat folȝed þe [glayue] so [grymly] [grounde],"
Pearl-Maiden,654,55,grymly,"Þat folȝed þe [glayue] so [grymly] [grounde],"
Pearl-Maiden,654,55,grounde,"Þat folȝed þe [glayue] so [grymly] [grounde],"
Pearl-Maiden,660,55,grace,And þe [grace] of God is [gret] innogh.
Pearl-Maiden,660,55,gret,And þe [grace] of God is [gret] innogh.
Pearl-Maiden,661,56,Grace,'[Grace] innogh þe mon may haue
Pearl-Maiden,670,56,grace,And be þurȝ mercy to [grace] þryȝt;
Pearl-Maiden,671,56,glente,Bot he to gyle þat neuer [glente]
Pearl-Maiden,688,58,glauereȝ,Ne [glauereȝ] her nieȝbor wyth no gyle.
Pearl-Maiden,799,67,gloryous,"""Þat [gloryous] gyltleȝ þat mon con quelle"
Pearl-Maiden,851,71,gret,In compayny [gret] our luf con þryf
Pearl-Maiden,861,72,gladeȝ,"Þe Lombe vus [gladeȝ], oure care is kest;"
Narrator,915,77,gloryous,"As þou art [gloryous] wythouten galle,"
Narrator,926,78,gret,"Of þousandeȝ þryȝt so [gret] a route,"
Narrator,927,78,gret,"A [gret] ceté, for ȝe arn fele,"
Narrator,934,78,glory,To loke on þe [glory] of þys [gracious] gote.
Narrator,934,78,gracious,To loke on þe [glory] of þys [gracious] gote.
Pearl-Maiden,955,80,glene,In þat oþer is noȝt bot pes to [glene]
Pearl-Maiden,959,80,glory,Þer [glory] and blysse schal euer encres
Pearl-Maiden,968,81,gret,For a syȝt þerof þurȝ [gret] fauor.
